FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.9726,0.9726,,,1,0.85,开放申购,开放赎回,,,,
2022-04-28,0.9644,0.9644,,,1,1.84,开放申购,开放赎回,,,,
2022-04-27,0.9470,0.9470,,,1,0.20,开放申购,开放赎回,,,,
2022-04-26,0.9451,0.9451,,,1,-0.56,开放申购,开放赎回,,,,
2022-04-25,0.9504,0.9504,,,1,-3.21,开放申购,开放赎回,,,,
2022-04-22,0.9819,0.9819,,,1,1.51,开放申购,开放赎回,,,,
2022-04-21,0.9673,0.9673,,,1,-0.95,开放申购,开放赎回,,,,
2022-04-20,0.9766,0.9766,,,1,-2.14,开放申购,开放赎回,,,,
2022-04-19,0.9980,0.9980,,,1,0.52,开放申购,开放赎回,,,,
2022-04-18,0.9928,0.9928,,,1,-1.76,开放申购,开放赎回,,,,
2022-04-15,1.0106,1.0106,,,1,0.44,开放申购,开放赎回,,,,
2022-04-14,1.0062,1.0062,,,1,1.07,开放申购,开放赎回,,,,
2022-04-13,0.9955,0.9955,,,1,-0.10,开放申购,开放赎回,,,,
2022-04-12,0.9965,0.9965,,,1,-0.17,开放申购,开放赎回,,,,
2022-04-11,0.9982,0.9982,,,1,-1.22,开放申购,开放赎回,,,,
2022-04-08,1.0105,1.0105,,,1,1.27,开放申购,开放赎回,,,,
2022-04-07,0.9978,0.9978,,,1,-1.32,开放申购,开放赎回,,,,
2022-04-06,1.0111,1.0111,,,1,1.53,开放申购,开放赎回,,,,
2022-04-01,0.9959,0.9959,,,1,1.45,开放申购,开放赎回,,,,
2022-03-31,0.9817,0.9817,,,1,0.80,开放申购,开放赎回,,,,
2022-03-30,0.9739,0.9739,,,1,1.50,开放申购,开放赎回,,,,
2022-03-29,0.9595,0.9595,,,1,0.05,开放申购,开放赎回,,,,
2022-03-28,0.9590,0.9590,,,1,1.44,开放申购,开放赎回,,,,
2022-03-25,0.9454,0.9454,,,1,-0.36,开放申购,开放赎回,,,,
2022-03-24,0.9488,0.9488,,,1,-0.22,开放申购,开放赎回,,,,
2022-03-23,0.9509,0.9509,,,1,0.08,开放申购,开放赎回,,,,
2022-03-22,0.9501,0.9501,,,1,1.90,开放申购,开放赎回,,,,
2022-03-21,0.9324,0.9324,,,1,-0.53,开放申购,开放赎回,,,,
2022-03-18,0.9374,0.9374,,,1,2.17,开放申购,开放赎回,,,,
2022-03-17,0.9175,0.9175,,,1,0.87,开放申购,开放赎回,,,,
2022-03-16,0.9096,0.9096,,,1,2.52,开放申购,开放赎回,,,,
2022-03-15,0.8872,0.8872,,,1,-5.28,开放申购,开放赎回,,,,
2022-03-14,0.9367,0.9367,,,1,-1.73,开放申购,开放赎回,,,,
2022-03-11,0.9532,0.9532,,,1,0.21,开放申购,开放赎回,,,,
2022-03-10,0.9512,0.9512,,,1,0.23,开放申购,开放赎回,,,,
2022-03-09,0.9490,0.9490,,,1,-1.37,开放申购,开放赎回,,,,
2022-03-08,0.9622,0.9622,,,1,-2.21,开放申购,开放赎回,,,,
2022-03-07,0.9839,0.9839,,,1,-0.97,开放申购,开放赎回,,,,
2022-03-04,0.9935,0.9935,,,1,-0.35,开放申购,开放赎回,,,,
2022-03-03,0.9970,0.9970,,,1,1.14,开放申购,开放赎回,,,,
2022-03-02,0.9858,0.9858,,,1,0.15,开放申购,开放赎回,,,,
2022-03-01,0.9843,0.9843,,,1,0.89,开放申购,开放赎回,,,,
2022-02-28,0.9756,0.9756,,,1,0.05,开放申购,开放赎回,,,,
2022-02-25,0.9751,0.9751,,,1,-0.38,开放申购,开放赎回,,,,
2022-02-24,0.9788,0.9788,,,1,-1.26,开放申购,开放赎回,,,,
2022-02-23,0.9913,0.9913,,,1,-0.87,开放申购,开放赎回,,,,
2022-02-22,1.0000,1.0000,,,1,-0.55,开放申购,开放赎回,,,,
2022-02-21,1.0055,1.0055,,,1,-0.12,开放申购,开放赎回,,,,
2022-02-18,1.0067,1.0067,,,1,1.54,开放申购,开放赎回,,,,
2022-02-17,0.9914,0.9914,,,1,-0.35,开放申购,开放赎回,,,,
2022-02-16,0.9949,0.9949,,,1,0.64,开放申购,开放赎回,,,,
2022-02-15,0.9886,0.9886,,,1,-0.84,开放申购,开放赎回,,,,
2022-02-14,0.9970,0.9970,,,1,-2.16,开放申购,开放赎回,,,,
2022-02-11,1.0190,1.0190,,,1,0.47,开放申购,开放赎回,,,,
2022-02-10,1.0142,1.0142,,,1,1.18,开放申购,开放赎回,,,,
2022-02-09,1.0024,1.0024,,,1,-0.28,开放申购,开放赎回,,,,
2022-02-08,1.0052,1.0052,,,1,1.62,开放申购,开放赎回,,,,
2022-02-07,0.9892,0.9892,,,1,2.50,开放申购,开放赎回,,,,
2022-01-28,0.9651,0.9651,,,1,-0.94,开放申购,开放赎回,,,,
2022-01-27,0.9743,0.9743,,,1,-0.68,开放申购,开放赎回,,,,
2022-01-26,0.9810,0.9810,,,1,0.45,开放申购,开放赎回,,,,
2022-01-25,0.9766,0.9766,,,1,-2.11,开放申购,开放赎回,,,,
2022-01-24,0.9976,0.9976,,,1,0.08,开放申购,开放赎回,,,,
2022-01-21,0.9968,0.9968,,,1,-0.86,开放申购,开放赎回,,,,
2022-01-20,1.0054,1.0054,,,1,0.51,开放申购,开放赎回,,,,
2022-01-19,1.0003,1.0003,,,1,0.43,开放申购,开放赎回,,,,
2022-01-18,0.9960,0.9960,,,1,2.22,开放申购,开放赎回,,,,
2022-01-17,0.9744,0.9744,,,1,0.34,开放申购,开放赎回,,,,
2022-01-14,0.9711,0.9711,,,1,-1.95,开放申购,开放赎回,,,,
2022-01-13,0.9904,0.9904,,,1,-0.39,开放申购,开放赎回,,,,
2022-01-12,0.9943,0.9943,,,1,-0.32,开放申购,开放赎回,,,,
2022-01-11,0.9975,0.9975,,,1,0.15,开放申购,开放赎回,,,,
2022-01-10,0.9960,0.9960,,,1,0.65,开放申购,开放赎回,,,,
2022-01-07,0.9896,0.9896,,,1,1.58,开放申购,开放赎回,,,,
2022-01-06,0.9742,0.9742,,,1,-0.35,开放申购,开放赎回,,,,
2022-01-05,0.9776,0.9776,,,1,0.58,开放申购,开放赎回,,,,
2022-01-04,0.9720,0.9720,,,1,0.69,开放申购,开放赎回,,,,
2021-12-31,0.9653,0.9653,,,1,0.91,开放申购,开放赎回,,,,
2021-12-30,0.9566,0.9566,,,1,-0.02,开放申购,开放赎回,,,,
2021-12-29,0.9568,0.9568,,,1,-0.57,开放申购,开放赎回,,,,
2021-12-28,0.9623,0.9623,,,1,-0.22,开放申购,开放赎回,,,,
2021-12-27,0.9644,0.9644,,,1,0.52,开放申购,开放赎回,,,,
2021-12-24,0.9594,0.9594,,,1,-0.35,开放申购,开放赎回,,,,
2021-12-23,0.9628,0.9628,,,1,0.50,开放申购,开放赎回,,,,
2021-12-22,0.9580,0.9580,,,1,-0.46,开放申购,开放赎回,,,,
2021-12-21,0.9624,0.9624,,,1,1.44,开放申购,开放赎回,,,,
2021-12-20,0.9487,0.9487,,,1,-0.46,开放申购,开放赎回,,,,
2021-12-17,0.9531,0.9531,,,1,-0.68,开放申购,开放赎回,,,,
2021-12-16,0.9596,0.9596,,,1,1.21,开放申购,开放赎回,,,,
